"denuncia_numero","hecho_fecha_hora","hecho_provincia","hecho_municipio","hecho_localidad","hecho_discriminacion","hecho_irregularidades","hecho_lugar","hecho_cometido_por","hecho_tipo_violencia","hecho_accion_realizada","denuncia_estado","denuncia_fecha_cambio_estado","denuncia_via_ingreso","denuncia_fecha_hora_carga","hecho_provincia_id"
2,"2010-08-15 16:00:00","Santa Fe","Rosario","Rosario","","","En el interior del local","Personas vinculadas a la empresa","Agresión verbal","","Derivado","2015-11-19","Call Center","2010-12-23 11:59:00","82"
3,"2010-11-20 03:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","No exhibe nomina de personal de control habilitado","En el acceso local","Personal de empresas de seguridad","Agresión verbal - Agresión física","Se solicitó asistencia policial - Se hizo denuncia policial","Derivado","2010-12-28","Call Center","2010-12-28 11:29:00","02"
4,"2010-12-18 04:00:00","Buenos Aires","San Miguel","San Miguel","","","En el interior del local","Controladores","Agresión verbal","","Derivado","2011-01-03","Call Center","2010-12-29 15:44:00","06"
5,"2010-10-23 03:00:00","Entre Ríos","Paraná","PARANA","","","En el interior del local","","Agresión física","Se solicitó asistencia policial","Derivado","2015-11-19","Call Center","2010-12-30 09:58:00","30"
6,"2010-11-30 05:00:00","Mendoza","Mendoza","MENDOZA","","","En el acceso local","Controladores","Agresión física","Se solicitó asistencia policial","Derivado","2015-11-19","Call Center","2010-12-30 10:56:00","50"
7,"2010-12-25 06:00:00","Santiago del Estero","Sachayoj","SACHAYOJ","","","En el interior del local","Personal de empresas de seguridad","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2011-01-03","Call Center","2011-01-03 10:40:00","86"
10,"2011-01-01 05:00:00","Buenos Aires","Junín","Junín","","","","Personal de empresas de seguridad","Agresión física","","Derivado","2011-01-06","Call Center","2011-01-06 12:32:00","06"
11,"2011-01-01 03:00:00","Buenos Aires","Chacabuco","Chacabuco","Por orientacion sexual","","En el acceso local","Personas vinculadas a la empresa","","","Derivado","2011-01-06","Call Center","2011-01-06 12:51:00","06"
13,"2010-12-29 20:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Capital Federal","Otros","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","","","","Derivado","2011-01-25","Página web de RENCAP ","2011-01-25 11:41:00","02"
14,"2010-12-31 02:00:00","Buenos Aires","La Matanza","Ramos Mejía","Por indumentaria","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Controladores","Agresión verbal - Agresión física","","Derivado","2011-01-26","Call Center","2011-01-26 12:14:00","06"
15,"2011-01-19 03:30:00","Río Negro","San Carlos de Bariloche","SAN CARLOS DE BARILOCHE","Otros","El personal de control no esta identificado","En el interior del local - En las proximidades del local","Personal de empresas de seguridad","Agresión verbal - Agresión física","","Derivado","2011-01-31","Página web de RENCAP ","2011-01-28 11:15:00","62"
16,"2011-01-22 01:20:00","Buenos Aires","Lomas de Zamora","Lomas de Zamora","Por aspecto físico","","","","","","Derivado","2011-01-31","Página web de RENCAP ","2011-01-29 13:00:00","06"
17,"2011-02-06 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Villa del Parque","","Otros","","En el acceso local","Controladores","Agresión física","Se solicitó asistencia policial","Derivado","2011-02-07","Call Center","2011-02-07 12:10:00","02"
18,"2011-02-05 04:45:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","","El personal de control no esta identificado","En el interior del local","Controladores","Agresión verbal - Agresión física","Se solicitó asistencia policial","Derivado","2011-02-08","Call Center","2011-02-08 10:23:00","02"
22,"2011-02-11 02:00:00","Córdoba","Córdoba","CORDOBA","Por indumentaria","","En el acceso local","Controladores","","","Derivado","2011-02-11","Call Center","2011-02-11 16:24:00","14"
23,"2011-02-09 22:30:00","Ciudad Autónoma de Buenos Aires","Barrio San Nicolás","","Por aspecto físico - Por indumentaria","El personal de control no esta identificado","En el acceso local","Controladores","","","Derivado","2011-02-11","Call Center","2011-02-11 16:54:00","02"
