ALFABETA;"PRINCIPIO ACTIVO";"MARCA COMERCIAL";PRESENTACION;LABORATORIO;"PVP PAMI AL 30/04/2021";COBERTURA;"IMPORTE AFILIADO"
42415;betahistina;BETASERC;"16 mg comp.x 30";"Abbott EPD";663.86;50;331.93
42416;betahistina;BETASERC;"24 mg comp.x 30";"Abbott EPD";921.38;50;460.69
48040;betahistina;BETASERC;"8 mg comp.x 30";"Abbott EPD";515.39;50;257.7
21735;"candesartán cilexetil";TIADYL;"16 mg comp.x 30";"Abbott EPD";2255.44;60;902.18
21733;"candesartán cilexetil";TIADYL;"8 mg comp.x 30";"Abbott EPD";1503.85;60;601.54
29638;candesartán+hidroclorotiazida;"TIADYL PLUS";"16 mg comp.x 30";"Abbott EPD";2029.87;60;811.95
10202;claritromicina;KLARICID;"125 mg/5 ml jbe.x 60 ml";"Abbott EPD";536;60;214.4
15947;claritromicina;KLARICID;"500 mg comp.x 16";"Abbott EPD";1250.68;60;500.27
30818;claritromicina;KLARICID;"500 mg comp.x 8";"Abbott EPD";757.74;60;303.1
12610;claritromicina;KLARICID;"IV iny.f.a.x 1";"Abbott EPD";1198.74;60;479.5
22622;claritromicina;"KLARICID UD";"comp.x 5";"Abbott EPD";457.04;60;182.82
18811;claritromicina;"KLARICID UD";"comp.x 8";"Abbott EPD";731.21;60;292.48
18812;claritromicina;"KLARICID FORTE";"jbe.x 60 ml";"Abbott EPD";952.09;60;380.84
50820;clofedianol+bromhexina;COFRON;"Ad.jbe.x 100 ml";"Abbott EPD";357.2;50;178.6
50821;clofedianol+bromhexina;COFRON;"Ad.jbe.x 180 ml";"Abbott EPD";575.14;50;287.57
50822;clofedianol+bromhexina;COFRON;"Ped.jbe.x 100 ml";"Abbott EPD";357.2;50;178.6
50823;clofedianol+bromhexina;COFRON;"Ped.jbe.x 180 ml";"Abbott EPD";597.79;50;298.9
21875;colagenasa+cloranfenicol+asoc.;IRUXOL;"ung.x 15 g";"Abbott EPD";657.35;60;262.94
4640;colagenasa+cloranfenicol+asoc.;IRUXOL;"ung.x 30 g";"Abbott EPD";1294.68;60;517.87
21877;colagenasa+cloranfenicol+asoc.;IRUXOL;"ung.x 50 g";"Abbott EPD";2098.72;60;839.49
37388;"enzimas digestivas";"CREON 25000";"cáps.x 100";"Abbott EPD";6693.15;50;3346.58
24710;"enzimas digestivas";"CREON 10000";"cáps.x 100";"Abbott EPD";4035.14;50;2017.57
37387;"enzimas digestivas";"CREON 25000";"cáps.x 50";"Abbott EPD";3714.23;50;1857.12
24709;"enzimas digestivas";"CREON 10000";"cáps.x 50";"Abbott EPD";2231.18;50;1115.59
45275;fenofibrato;CONTROLIP;"160 mg cáps.x 30";"Abbott EPD";1522.63;60;609.05
49097;fluvoxamina;LUVOX;"100 mg comp.ran.x 30";"Abbott EPD";1586.8;50;793.4
49096;fluvoxamina;LUVOX;"100 mg comp.rec.x 15";"Abbott EPD";489.56;50;244.78
19929;pinaverio.bromuro;DICETEL;"100 mg comp.x 30";"Abbott EPD";1096.35;50;548.18
19930;pinaverio.bromuro;DICETEL;"100 mg comp.x 60";"Abbott EPD";2121.57;50;1060.79
4652;propafenona;NORMORYTMIN;"150 mg comp.rec.x 20";"Abbott EPD";571.15;60;228.46
7781;propafenona;NORMORYTMIN;"150 mg comp.rec.x 50";"Abbott EPD";1240.24;60;496.1
4653;propafenona;NORMORYTMIN;"300 mg comp.rec.x 20";"Abbott EPD";1071.99;60;428.8
7783;propafenona;NORMORYTMIN;"300 mg comp.rec.x 50";"Abbott EPD";2316.88;60;926.75
20089;sodio.divalproato;"VALCOTE SPRINKLE";"125 mg caps.x 100";"Abbott EPD";2328.08;80;465.62
20088;sodio.divalproato;"VALCOTE SPRINKLE";"125 mg caps.x 50";"Abbott EPD";1215.71;80;243.14
8514;sodio.divalproato;VALCOTE;"125 mg comp.x 50";"Abbott EPD";802.24;80;160.45
47171;sodio.divalproato;"VALCOTE ER";"250 mg comp.lib.cont.x50";"Abbott EPD";1624.59;80;324.92
8518;sodio.divalproato;VALCOTE;"250 mg comp.x 50";"Abbott EPD";1349.87;80;269.97
29031;sodio.divalproato;"VALCOTE ER";"500 mg comp.lib.cont.x50";"Abbott EPD";2865.23;80;573.05
8524;sodio.divalproato;VALCOTE;"500 mg comp.x 50";"Abbott EPD";2380.53;80;476.11
24301;sodio.divalproato;"VALCOTE IV";"iny.a.x 10 x 5 ml";"Abbott EPD";7018.71;80;1403.74
19;valproico.ác.;DEPAKENE;"caps.x 50";"Abbott EPD";780.15;80;156.03
21;valproico.ác.;DEPAKENE;"jbe.x 120 ml";"Abbott EPD";432.66;80;86.53
4642;verapamilo;"ISOPTINO RETARD";"120 mg comp.rec.x 20";"Abbott EPD";775.03;60;310.01
2141;verapamilo;"ISOPTINO MD";"240 mg comp rec.x 30";"Abbott EPD";1788.57;60;715.43
20438;verapamilo;ISOPTINO;"80 mg comp.rec.x 30";"Abbott EPD";524.39;60;209.76
163;atropina.sulfato;"ISOPTO ATROPINA";"1% sol.oft.x 5 ml";Alcon;471.98;50;235.99
174;nafazolina+feniramina;MIRUS;"sol.oft.x 15 ml";Alcon;416.87;50;208.44
35520;polietilenglicol+propilenglicol;SYSTANE;"Drop Tainer fco.x 15 ml";Alcon;952.59;50;476.3
47668;polietilenglicol+propilenglicol;"SYSTANE GEL EN GOTAS";"gel oft.en gotas x 10 ml";Alcon;978.92;50;489.46
44216;polietilenglicol+propilenglicol;"SYSTANE ULTRA";"sol.oft.estéril x 10 ml";Alcon;952.59;50;476.3
140;proparacaína;ANESTALCON;"fco.x 15 ml";Alcon;446.39;50;223.2
46655;propilenglicol;"SYSTANE BALANCE";"sol.oft.estéril x 10 ml";Alcon;978.92;50;489.46
138;tropicamida;"ALCON MYDRIL";"1% sol.oft.x 5 ml";Alcon;478.01;50;239.01
46420;bimatoprost;"LUMIGAN RC";"0.01% fco.gotero x 3 ml";Allergan-Loa;1555.8;50;777.9
28696;bimatoprost;LUMIGAN;"0.03% sol.oft.x 3 ml";Allergan-Loa;1329.3;50;664.65
39970;bimatoprost+timolol;GANFORT;"sol.oft.x 3 ml";Allergan-Loa;1470.3;50;735.15
52738;bimatoprost+timolol;"GANFORT UD";"sol.oft.x 30 ds.x 0.4 ml";Allergan-Loa;1521.1;50;760.55
31189;brimonidina;"ALPHAGAN P";"sol.oft.x 5 ml";Allergan-Loa;1207;60;482.8
19898;brimonidina;ALPHAGAN;"sol.oft.x 5 ml";Allergan-Loa;1035.1;60;414.04
37917;brimonidina+timolol;COMBIGAN;"0.2%/0.5% gts.oft.x 5 ml";Allergan-Loa;1323.64;50;661.82
51569;"carboximetilcelulosa sód.+asoc.";"OPTIVE ADVANCED";"sol.oft.x 10 ml";Allergan-Loa;782.13;50;391.07
51599;"carboximetilcelulosa sód.+asoc.";"OPTIVE ADVANCED";"sol.oft.x 15 ml";Allergan-Loa;1025.54;50;512.77
